State,January 2023 unemployment rate
Alabama,2.6
Alaska,3.8
Arizona,3.8
Arkansas,3.4
California,4.2
Colorado,2.8
Connecticut,3.9
Delaware,4.6
District of Columbia,4.4
Florida,2.6
Georgia,3.1
Hawaii,3.6
Idaho,2.7
Illinois,4.5
Indiana,3.1
Iowa,3
Kansas,2.9
Kentucky,3.9
Louisiana,3.5
Maine,2.9
Maryland,3
Massachusetts,3.6
Michigan,4.3
Minnesota,2.9
Mississippi,3.9
Missouri,2.7
Montana,2.5
Nebraska,2.5
Nevada,5.5
New Hampshire,2.8
New Jersey,3.4
New Mexico,3.5
New York,4.2
North Carolina,3.8
North Dakota,2.1
Ohio,4
Oklahoma,3.1
Oregon,4.8
Pennsylvania,4.3
Rhode Island,3.1
South Carolina,3.2
South Dakota,2.1
Tennessee,3.5
Texas,3.9
Utah,2.4
Vermont,2.9
Virginia,3.2
Washington,4.6
West Virginia,3.9
Wisconsin,2.9
Wyoming,3.9
Puerto Rico,6